Category ID,Category Name,Category Type,Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
A2,Assertion / Hidden-Accusation Questions,question,05/05/2024,38567,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Literacy Rates - Primary Schools,"Can the Minister explain the steady decline in literacy rates in state primary schools over the last three years, and will he admit that current policies are failing?","We are introducing new pedagogical strategies and increased literacy support hours to address the diverse needs of our student population, which has been impacted by the disruptions of recent years."
A3,Request / Directive Questions,question,12/10/2023,15401,Ivan Bartolo,Social Policy and Children's Rights,Social Housing - Maintenance Requests,"Can the Minister table a list of maintenance requests for social housing units in Birkirkara for the year 2022, including the date of the request and the date of completion?","I am tabling the information requested by the Honorable Member, which includes a breakdown of maintenance types and their current status."
A3,Request / Directive Questions,question,15/10/2023,15450,Chris Said,Gozo,Gozo - Road Infrastructure Projects,Will the Minister provide a timeframe for the completion of the road works currently underway in Marsalforn and list the contractors involved?,The works are currently in the second phase and are expected to be completed by the second quarter of next year. The list of contractors is being tabled.
A3,Request / Directive Questions,question,18/10/2023,16120,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Schools - Sports Facilities Upgrade,Can the Minister publish a breakdown of the expenditure allocated for the upgrading of sports facilities in state secondary schools during the last scholastic year?,The requested information is being compiled and will be placed on the Table of the House in a future sitting.
A3,Request / Directive Questions,question,20/10/2023,16890,Jerome Caruana Cilia,"Economy, European Funds and Lands",Industrial Estates - New Leases,Will the Minister table a list of all new lease agreements signed for industrial units in the Ħal Far Industrial Estate between January and June 2023?,"I am tabling a document containing the list of lease agreements as requested by the Honorable Member, subject to commercial confidentiality clauses."
A3,Request / Directive Questions,question,22/10/2023,17234,Graziella Attard Previ,Health and Active Ageing,Elderly Care - Staffing Levels,Can the Minister confirm the number of registered nurses currently employed at the St. Vincent de Paul Residence and provide a breakdown by ward?,"I am placing on the Table of the House the current staffing levels for nurses at the residence, categorized by their respective departments."
A3,Request / Directive Questions,question,25/10/2023,18012,Rebekah Borg,Justice and Reform of the Construction Sector,Construction - Safety Inspections,Will the Minister provide a list of construction sites that were issued with a stop-work notice due to safety violations during the third quarter of 2023?,The information regarding stop-work notices issued by the Building and Construction Authority is being tabled herewith.
A3,Request / Directive Questions,question,28/10/2023,18555,Ivan Castillo,"Home Affairs, Security, Reforms and Equality",Police Force - Vehicle Fleet,"Can the Minister table a list of new vehicles acquired by the Malta Police Force in the last 12 months, including the procurement cost and the specific department they were assigned to?",I am tabling the requested information regarding the procurement of vehicles for the Police Force during the specified period.
A3,Request / Directive Questions,question,02/11/2023,19100,Ivan Bartolo,Prime Minister,Public Service - Remote Working Policy,Will the Prime Minister publish the latest reports or assessments regarding the effectiveness of the remote working policy within the public service?,"The assessments are internal documents used for policy refinement; however, a summary of the key findings is being tabled for the House."
A3,Request / Directive Questions,question,05/11/2023,19450,Chris Said,"Transport, Infrastructure and Public Works",Public Transport - Route Extensions,Can the Minister confirm if there are plans to extend bus routes to the Ta' Dbieġi Crafts Village in Gozo and provide a projected timeframe for implementation?,"Discussions are ongoing with the operator to evaluate route feasibility, and a decision on the timeframe is expected by the end of the current year."
A3,Request / Directive Questions,question,08/11/2023,20111,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Literacy Programs - Funding Allocation,Will the Minister provide a breakdown of the funds allocated to adult literacy programs for the 2023-2024 academic year?,The financial breakdown for adult literacy programs is being tabled as requested by the Honorable Member.
A3,Request / Directive Questions,question,10/11/2023,20567,Jerome Caruana Cilia,"Economy, European Funds and Lands",EU Funds - Digitalization Grants,Can the Minister table a list of small and medium enterprises (SMEs) that have successfully applied for digitalization grants under the Business Enhance scheme in 2023?,I am tabling the list of beneficiaries who have received approval for digitalization grants during the current calendar year.
A3,Request / Directive Questions,question,12/11/2023,21003,Graziella Attard Previ,Social Policy and Children's Rights,Childcare Centers - Subsidies,Will the Minister provide a list of private childcare centers currently participating in the Free Childcare Scheme and the total amount of subsidies paid to each in 2022?,The list of participating centers and the respective subsidy amounts is being placed on the Table of the House.
A3,Request / Directive Questions,question,15/11/2023,21456,Rebekah Borg,"Environment, Energy and Regeneration of the Grand Harbour",Renewable Energy - Solar Farm Permits,"Can the Minister provide a list of pending applications for large-scale solar farms currently being reviewed by the relevant authorities, including their proposed locations?","I am tabling a list of the applications currently under technical review, including their proposed locations and capacities."
A3,Request / Directive Questions,question,18/11/2023,22100,Ivan Castillo,"Home Affairs, Security, Reforms and Equality",Civil Protection - Equipment Procurement,Will the Minister table a copy of the contract signed for the procurement of new fire engines for the Civil Protection Department earlier this year?,"A version of the contract, respecting commercial sensitivity, is being tabled for the information of the House."
A3,Request / Directive Questions,question,20/11/2023,22500,Ivan Bartolo,Social Policy and Children's Rights,Disability Benefits - Assessment Wait Times,Can the Minister provide the average timeframe for the processing of applications for the Increased Severe Disability Assistance from the date of submission to the medical board review?,"The current average processing time is approximately eight weeks, and efforts are being made to further reduce this duration."
A3,Request / Directive Questions,question,22/11/2023,23012,Chris Said,Gozo,Gozo - Cultural Events Funding,Will the Minister table a breakdown of the financial assistance provided to local councils in Gozo for the organization of cultural events during the summer of 2023?,"I am placing the requested information on the Table of the House, detailing the grants allocated to each local council."
A3,Request / Directive Questions,question,25/11/2023,23567,Justin Schembri,"Education, Sport, Youth, Research and Innovation",University of Malta - Research Grants,Can the Minister provide a list of research projects at the University of Malta that received government funding through the Research and Innovation Fund in 2022?,"The list of funded research projects, including the title and the amount awarded to each, is being tabled herewith."
B1,Replies (Direct Answers),answer,12/03/2024,21450,Ivan Bartolo,,,Community Center - Qormi Progress Update,The construction of the new community center in Qormi is currently 80% complete. It is anticipated that the facility will be fully operational and open to the public by the fourth quarter of 2024.
B1,Replies (Direct Answers),answer,15/03/2024,21562,Chris Said,,,Rural Roads - Gozo Maintenance Works,"During the first two months of this year, three major rural roads in the localities of Xagħra and Nadur underwent extensive resurfacing and maintenance works to improve accessibility for local farmers."
B1,Replies (Direct Answers),answer,18/03/2024,21789,Justin Schembri,,,Education - School Laptop Scheme Distribution,"Since the commencement of the current scholastic year in September, a total of 4,500 laptops have been distributed to Year 7 students across all state schools as part of the digital literacy program."
B1,Replies (Direct Answers),answer,20/03/2024,22001,Jerome Caruana Cilia,,,Economy - SME Green Energy Grants,"For the fiscal year 2024, the government has allocated a total of €12 million specifically for grants aimed at assisting small and medium enterprises in their transition to green energy solutions."
B1,Replies (Direct Answers),answer,22/03/2024,22345,Graziella Attard Previ,,,Social Policy - Foster Care Allowance Increases,"I can confirm that the foster care allowance was increased by €15 per week, with this change coming into legal effect on 1st January of this year to support families providing alternative care."
B1,Replies (Direct Answers),answer,25/03/2024,22567,Rebekah Borg,,,Construction - Site Inspections Totals,"The Building and Construction Authority conducted a total of 1,240 site inspections during the first quarter of 2024 to ensure strict compliance with safety and environmental regulations."
B1,Replies (Direct Answers),answer,28/03/2024,22890,Ivan Castillo,,,Home Affairs - Port Security Equipment Upgrades,"The maritime section of the police force has been strengthened with the commissioning of two new high-speed patrol boats, which were officially put into service last month to enhance coastal security."
B1,Replies (Direct Answers),answer,02/04/2024,23112,Ivan Bartolo,,,Housing - Birkirkara Project Status,"The social housing project in Birkirkara, comprising 24 residential units, is in its final stages of interior finishing and is scheduled for allocation to eligible applicants by the end of June."
B1,Replies (Direct Answers),answer,05/04/2024,23456,Chris Said,,,Health - MRI Wait Times in Gozo,"The current average waiting time for non-urgent MRI scans at the Gozo General Hospital stands at approximately five weeks, following the successful introduction of extended operating hours."
B1,Replies (Direct Answers),answer,08/04/2024,23789,Justin Schembri,,,Youth Services - Regional Center Operating Hours,"All 12 regional youth centers have successfully transitioned to extended operating hours, now remaining open until 9:00 PM on all weekdays to provide better support services to the community."
B1,Replies (Direct Answers),answer,11/04/2024,24012,Jerome Caruana Cilia,,,Energy - EV Charging Infrastructure Expansion,"The government has successfully installed 50 new electric vehicle charging points across various localities in the Northern region since the start of the current year, meeting the quarterly target."
B1,Replies (Direct Answers),answer,14/04/2024,24345,Graziella Attard Previ,,,Social Policy - Domestic Violence Shelter Capacity,"Through recent investments, the total capacity of domestic violence shelters has been increased to 65 beds, distributed across three distinct locations to provide safer environments for victims and their children."
B1,Replies (Direct Answers),answer,17/04/2024,24678,Rebekah Borg,,,Environment - Urban Tree Planting Totals,"During the winter planting season, a total of 2,300 indigenous trees were planted within urban parks and green spaces to enhance the local ecosystem and improve air quality in residential areas."
B1,Replies (Direct Answers),answer,20/04/2024,25001,Ivan Castillo,,,Infrastructure - Industrial Park Security Measures,"Security measures at the Hal Far industrial park have been significantly upgraded, with the installation of new CCTV systems now providing 95% coverage of the perimeter and main access roads."
B1,Replies (Direct Answers),answer,23/04/2024,25334,Chris Said,,,Transport - Mgarr Harbour Dredging Works,"The planned dredging works at Mgarr Harbour were successfully completed in February, resulting in the removal of 4,000 cubic meters of silt to maintain safe navigation depths for the ferry service."
B1,Replies (Direct Answers),answer,26/04/2024,25667,Justin Schembri,,,Sport - Equipment Grants for Local Clubs,"During this quarter, 45 local sports clubs were awarded grants totaling €250,000, which are intended for the purchase of new training equipment and necessary facility upgrades."
B1,Replies (Direct Answers),answer,29/04/2024,26000,Ivan Bartolo,,,Social Policy - Pensioner Utility Credit Renewal,"Yes, the utility credit scheme for low-income pensioners has been officially renewed for the duration of 2024, providing essential financial relief to those most in need."
B2,Answers by Implication (Indirect/Partial),answer,12/10/2023,14501,Ivan Bartolo,,,Social Housing - Birkirkara Project Costs: Can the Minister provide the total expenditure incurred to date on the new social housing block in Birkirkara?,"I am informed that the project is currently in the procurement phase for finishing works, and the final costs will be determined once all tenders are adjudicated and the works are completed."
B2,Answers by Implication (Indirect/Partial),answer,15/11/2023,18230,Chris Said,,,Gozo Swimming Pool - Completion Date: Will the Minister state the exact date when the Gozo regional swimming pool will be open to the public?,"Work on the site is progressing according to the revised technical specifications required for the facility, and an announcement regarding the opening will be made in due course."
B2,Answers by Implication (Indirect/Partial),answer,22/01/2024,21445,Justin Schembri,,,Education - Laptop Distribution: Can the Minister state how many laptops have been distributed to Year 7 students during the current scholastic year?,The distribution process is currently ongoing across all state schools to ensure that every eligible student receives the necessary technological equipment as part of our digital literacy strategy.
B2,Answers by Implication (Indirect/Partial),answer,05/02/2024,23112,Jerome Caruana Cilia,,,Economy - SME Grants: Can the Minister provide the specific budget allocated for the new SME grant scheme for the first quarter of 2024?,Funds for the support of small and medium enterprises are allocated based on the volume of eligible applications received and the evaluation of the economic impact of the proposed projects.
B2,Answers by Implication (Indirect/Partial),answer,18/03/2024,25678,Graziella Attard Previ,,,Social Policy - Domestic Violence Shelters: Can the Minister provide the location of the proposed new shelter for victims of domestic violence?,"I inform the Honorable Member that various strategic locations are currently being evaluated to ensure that the facility provides maximum safety, privacy, and accessibility for those in need."
B2,Answers by Implication (Indirect/Partial),answer,02/04/2024,28901,Rebekah Borg,,,Environment - Xghajra Project Impact: Can the Minister provide the findings of the environmental impact report for the proposed regeneration project in Xghajra?,The necessary environmental and technical studies are being compiled by the relevant authorities and will be made available once the consultation phase is concluded.
B2,Answers by Implication (Indirect/Partial),answer,14/05/2024,31223,Ivan Castillo,,,Home Affairs - Construction Inspections: How many workplace safety inspections were carried out by the OHSA in the construction sector during April 2024?,The Occupational Health and Safety Authority carries out inspections on a daily basis across various sites to ensure that all health and safety regulations are being strictly followed by contractors.
B2,Answers by Implication (Indirect/Partial),answer,20/06/2024,33456,Ivan Bartolo,,,Social Policy - Ministry Consultants: Can the Minister provide a full list of consultants currently engaged with the Ministry for Social Policy and Children's Rights?,Consultants are engaged by the Ministry based on the specific technical and professional requirements of the various projects and initiatives currently being implemented.
B2,Answers by Implication (Indirect/Partial),answer,08/07/2024,35671,Chris Said,,,"Gozo - Victoria Traffic Management: Can the Minister provide the details of the new traffic management plan for Victoria, Gozo?","A comprehensive study is currently being finalized to address the evolving traffic requirements of the region, with the aim of improving the flow of vehicles and pedestrian safety in the capital."
B2,Answers by Implication (Indirect/Partial),answer,15/09/2024,37889,Justin Schembri,,,"Education - Teacher Shortage: Can the Minister provide the current number of teacher vacancies for the upcoming scholastic year, broken down by subject?",Recruitment and deployment processes are currently active to ensure that all classrooms in state schools are adequately staffed for the commencement of the new scholastic year.
B2,Answers by Implication (Indirect/Partial),answer,30/09/2024,38112,Jerome Caruana Cilia,,,Economy - Land Lease Revenue: What is the projected annual revenue from the recently signed land lease agreement for the industrial park extension?,The revenue generated from the lease will be determined by the final terms and conditions established during the negotiation phase and the subsequent development of the site.
B2,Answers by Implication (Indirect/Partial),answer,12/10/2024,39005,Graziella Attard Previ,,,Health - Floriana Clinic Upgrade: When will the refurbishment works on the Floriana health clinic be completed?,"The project is part of a wider modernization program for primary healthcare facilities, and works are being scheduled to minimize disruption to the services provided to the community."
B2,Answers by Implication (Indirect/Partial),answer,05/11/2024,39554,Rebekah Borg,,,Justice - Arbitration Legal Fees: Can the Minister state the total amount paid in legal fees for the international arbitration case regarding the energy sector?,Legal costs associated with such proceedings are subject to audit and will be reported in the Ministry’s annual financial statements in accordance with standard procedures.
B2,Answers by Implication (Indirect/Partial),answer,19/11/2024,39887,Ivan Castillo,,,Transport - Electric Bus Fleet: How many new electric buses have been added to the public transport fleet since January 2024?,The fleet renewal program is progressing in line with our established green transition targets to ensure a more sustainable public transport network for all commuters.
B2,Answers by Implication (Indirect/Partial),answer,01/12/2024,40120,Chris Said,,,Gozo - NGO Funding: What is the total amount of funding allocated specifically for Gozitan NGOs in the 2025 budget?,Support for non-governmental organizations in Gozo remains a priority and will be addressed through the various budgetary measures and grant schemes planned for the coming year.
B2,Answers by Implication (Indirect/Partial),answer,10/12/2024,40500,Justin Schembri,,,Sport - Marsa Complex Status: Can the Minister provide an update on the status of the new sports complex in Marsa?,Technical assessments and site preparations are being finalized to allow the next phase of construction to commence according to the project's master plan.
B3,Non-Replies (Deferral/Referral/Reroute),answer,12/03/2024,15432,Ivan Bartolo,,,"Social Housing - Waitlist Statistics. Can the Minister provide a detailed breakdown of the current waitlist for social housing units, categorized by locality and family size?",The information requested is still being compiled and will be provided in a future sitting.
B3,Non-Replies (Deferral/Referral/Reroute),answer,14/03/2024,16201,Chris Said,,,Gozo - Permanent Link Project. Can the Minister state the current status of the geological studies regarding the proposed permanent link between Malta and Gozo?,I refer the Honorable Member to the answer given to Parliamentary Question 14890.
B3,Non-Replies (Deferral/Referral/Reroute),answer,15/03/2024,17890,Justin Schembri,,,Schools - Maintenance Works. Can the Minister provide a list of all primary schools scheduled for structural maintenance during the upcoming summer recess?,"The Honorable Member is requested to direct this question to the Minister for Transport, Infrastructure and Public Works."
B3,Non-Replies (Deferral/Referral/Reroute),answer,18/03/2024,18555,Jerome Caruana Cilia,,,Economy - Tax Rebates. Can the Minister provide the total value of tax rebates issued to small and medium enterprises during the last fiscal year?,The information is still being collected and will be given in another sitting.
B3,Non-Replies (Deferral/Referral/Reroute),answer,20/03/2024,19234,Graziella Attard Previ,,,Health - Mental Health Services. Can the Minister provide the number of specialized psychiatric nurses currently employed within the community mental health clinics?,I refer the Honorable Member to the reply provided for Parliamentary Question 17543.
B3,Non-Replies (Deferral/Referral/Reroute),answer,21/03/2024,20111,Rebekah Borg,,,Construction - Building Permits. Can the Minister state the number of permits issued for residential developments in ODZ areas between 2022 and 2023?,The Honorable Member is requested to direct this question to the Minister for Justice and Reform of the Construction Sector.
B3,Non-Replies (Deferral/Referral/Reroute),answer,25/03/2024,21400,Ivan Castillo,,,Employment - Foreign Workers. Can the Minister provide a statistical report on the number of third-country nationals currently employed in the hospitality sector?,The information requested is still being processed and will be tabled at a later stage.
B3,Non-Replies (Deferral/Referral/Reroute),answer,27/03/2024,22678,Ivan Bartolo,,,Elderly Care - Home Assistance. Can the Minister provide the average waiting time for elderly citizens applying for the 'Home Help' service?,I refer the Honorable Member to the answer given to Parliamentary Question 19902.
B3,Non-Replies (Deferral/Referral/Reroute),answer,02/04/2024,23901,Chris Said,,,Gozo - Hospital Staffing. Can the Minister provide a list of vacancies for medical consultants currently open at the Gozo General Hospital?,The Honorable Member is requested to direct this question to the Minister for Health and Active Ageing.
B3,Non-Replies (Deferral/Referral/Reroute),answer,04/04/2024,24550,Justin Schembri,,,Youth - Grant Schemes. Can the Minister provide a list of all non-governmental organizations that received funding through the Youth Empowerment Scheme in 2023?,The information is being gathered and will be presented in a forthcoming sitting.
