category_id,category_name,approach,n,temperature,provider,model_name,status,error,timestamp,schema_valid_rate,date_format_valid_rate,pq_no_numeric_rate,mp_allowed_rate,ministry_allowed_rate,non_empty_question_rate,non_empty_answer_rate,duplicate_row_ratio,avg_question_length,avg_answer_length,overall_score
B2,Answers by Implication (Indirect/Partial),zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,"Failed validation: - Provider returned invalid JSON or an unusable response: Expecting ',' delimiter: line 36 column 4 (char 2548)",2026-05-07T18:16:48Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3,Non-Replies (Deferral/Referral/Reroute),zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,"Failed validation: - Provider returned invalid JSON or an unusable response: Expecting ',' delimiter: line 50 column 4 (char 3011)",2026-05-07T18:17:10Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,Information-Seeking Questions,zero_shot,10.0,0.7,gemini,gemini-3.1-pro-preview,failed,"Gemini request failed with HTTP 429 Too Many Requests: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-3.1-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_con...",2026-05-07T18:19:58Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,Information-Seeking Questions,zero_shot,10.0,0.7,mistral,mistral-small-latest,success,,2026-05-07T18:25:16Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,134.0,148.5,1.0
A2,Assertion / Hidden-Accusation Questions,zero_shot,10.0,0.7,mistral,mistral-small-latest,success,,2026-05-07T18:25:30Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,316.5,336.6,1.0
A3,Request / Directive Questions,zero_shot,10.0,0.7,mistral,mistral-small-latest,success,,2026-05-07T18:25:59Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,245.2,391.6,1.0
B1,Replies (Direct Answers),zero_shot,10.0,0.7,mistral,mistral-small-latest,success,,2026-05-07T18:26:09Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,58.3,329.0,1.0
B2,Answers by Implication (Indirect/Partial),zero_shot,10.0,0.7,mistral,mistral-small-latest,success,,2026-05-07T18:26:17Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,45.3,229.9,1.0
B3,Non-Replies (Deferral/Referral/Reroute),zero_shot,10.0,0.7,mistral,mistral-small-latest,success,,2026-05-07T18:26:24Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,64.6,210.9,1.0
A1,Information-Seeking Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,"Failed validation: - Provider returned invalid JSON or an unusable response: Expecting ',' delimiter: line 29 column 6 (char 1578)",2026-05-08T07:37:21Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2,Assertion / Hidden-Accusation Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,"Failed validation: - Provider returned invalid JSON or an unusable response: Expecting ',' delimiter: line 28 column 4 (char 1961)",2026-05-08T07:37:46Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3,Request / Directive Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,"Failed validation: - Provider returned invalid JSON or an unusable response: Expecting ',' delimiter: line 55 column 4 (char 3147)",2026-05-08T07:38:08Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,Replies (Direct Answers),zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,Failed validation: - Provider returned invalid JSON or an unusable response: Unterminated string starting at: line 6 column 22 (char 100),2026-05-08T07:38:31Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,Information-Seeking Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,Failed validation: - Provider returned invalid JSON or an unusable response: Unterminated string starting at: line 8 column 22 (char 218),2026-05-08T07:39:53Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2,Assertion / Hidden-Accusation Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,Failed validation: - Provider returned invalid JSON or an unusable response: Unterminated string starting at: line 8 column 22 (char 216),2026-05-08T07:40:19Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,Information-Seeking Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T07:51:33Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,121.8,147.0,1.0
A2,Assertion / Hidden-Accusation Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T07:51:49Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,202.7,184.9,1.0
A3,Request / Directive Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T07:52:01Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,146.9,132.2,1.0
B1,Replies (Direct Answers),zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T07:52:18Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,167.3,192.0,1.0
B2,Answers by Implication (Indirect/Partial),zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T07:52:30Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,169.6,234.5,1.0
B3,Non-Replies (Deferral/Referral/Reroute),zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T07:52:40Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,167.6,91.3,1.0
A1,Information-Seeking Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T08:01:38Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,139.3,149.9,1.0
A2,Assertion / Hidden-Accusation Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T08:01:54Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,213.3,287.1,1.0
A3,Request / Directive Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T08:02:07Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,151.2,176.9,1.0
B1,Replies (Direct Answers),zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T08:02:22Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,198.6,195.1,1.0
B2,Answers by Implication (Indirect/Partial),zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T08:02:36Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,158.4,271.4,1.0
B3,Non-Replies (Deferral/Referral/Reroute),zero_shot,10.0,0.7,gemini,gemini-flash-latest,success,,2026-05-08T08:02:47Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,177.8,98.3,1.0
