Category ID,Category Name,Category Type,Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
A2,Assertion / Hidden-Accusation Questions,question,22/03/2024,12489,Chris Said,Health and Active Ageing,Hospital Equipment Procurement - Failure to Meet Urgent Needs,"To ask the Minister responsible for Health and Active Ageing why procurement for essential medical equipment, such as MRI machines and surgical tools, continues to be delayed, despite repeated assurances of urgency, and whether this reflects a systemic failure in public health procurement?","The Ministry is actively pursuing procurement for critical medical equipment. Bidding processes have been initiated, and the necessary funds have been allocated. Delays are primarily due to stringent EU tendering regulations, which must be adhered to for compliance. The Ministry remains committed to ensuring these lifesaving resources are delivered as swiftly as possible."
A2,Assertion / Hidden-Accusation Questions,question,05/04/2024,12512,Justin Schembri,"Transport, Infrastructure and Public Works",Public Transport Reliability - Chronic Service Disruptions,"To ask the Minister responsible for Transport, Infrastructure and Public Works what concrete actions are being taken to address the persistent unreliability of public transport services, with commuters reporting an average of three breakdowns per week per bus line, and whether this indicates a failure in infrastructure maintenance?","The Ministry recognises the frustration caused by service disruptions and has allocated additional funds for emergency repairs and preventive maintenance. A real-time monitoring system is being implemented to identify and address issues promptly. The reliability of public transport remains a priority, and the Ministry is committed to delivering consistent service."
A2,Assertion / Hidden-Accusation Questions,question,12/04/2024,12545,Jerome Caruana Cilia,"Environment, Energy and Regeneration of the Grand Harbour",Grand Harbour Regeneration - Missing Deadlines and Unfulfilled Promises,"To ask the Minister responsible for Environment, Energy and Regeneration of the Grand Harbour why the regeneration projects for the Grand Harbour are falling behind schedule, with key milestones such as the new cruise liner terminal and waterfront promenade delayed by over two years, and whether this reflects mismanagement of EU funds?","The Ministry is aware of the delays in Grand Harbour regeneration projects and is actively working to accelerate progress. Challenges such as unforeseen archaeological findings and procurement delays have impacted timelines. The Ministry assures that all projects are on track to meet revised deadlines, with EU funds being utilised in full compliance with regulations."
A2,Assertion / Hidden-Accusation Questions,question,19/04/2024,12578,Graziella Attard Previ,Social Policy and Children's Rights,Child Protection Services - Inadequate Support for Vulnerable Families,"To ask the Minister responsible for Social Policy and Children's Rights what steps are being taken to address the critical shortage of social workers and caseworkers in child protection services, which has left hundreds of vulnerable families without adequate support, and whether this constitutes a breach of the state's duty of care?","The Ministry is actively recruiting additional social workers and caseworkers to address staffing shortages. Training programmes have been expanded, and temporary measures such as outsourcing have been implemented to fill gaps. The Ministry remains fully committed to safeguarding the welfare of children and vulnerable families."
A2,Assertion / Hidden-Accusation Questions,question,26/04/2024,12611,Rebekah Borg,"Education, Sport, Youth, Research and Innovation",School Infrastructure Failures - Persistent Structural Issues,"To ask the Minister responsible for Education, Sport, Youth, Research and Innovation why so many state schools continue to suffer from structural failures such as leaking roofs, cracked walls, and inadequate ventilation, despite repeated pledges to address these issues, and whether this reflects a failure in long-term planning?","The Ministry has identified the most critical infrastructure issues and is prioritising repairs through a phased approach. A comprehensive audit of all state schools has been conducted, and necessary funds have been allocated. The Ministry assures that all structural issues will be resolved within the next two years."
A2,Assertion / Hidden-Accusation Questions,question,03/05/2024,12644,Ivan Castillo,"Home Affairs, Security, Reforms and Equality",Police Response Times - Failure to Meet National Standards,"To ask the Minister responsible for Home Affairs, Security, Reforms and Equality why police response times in high-density areas continue to exceed national benchmarks, with emergency calls taking an average of 20 minutes to be addressed, and whether this indicates a systemic failure in resource allocation?","The Ministry is reviewing police deployment strategies to improve response times in high-density areas. Additional resources, including patrol vehicles and personnel, have been allocated. A new digital dispatch system is being implemented to enhance coordination and efficiency."
A2,Assertion / Hidden-Accusation Questions,question,10/05/2024,12677,Ivan Bartolo,"Economy, European Funds and Lands",Land Registry Delays - Impact on Economic Growth,"To ask the Minister responsible for Economy, European Funds and Lands what measures are being taken to address the chronic delays in the Land Registry, which are stifling economic growth by preventing timely property transactions and business expansions, and whether this reflects inefficiencies in digital transformation?","The Ministry is accelerating the digitalisation of the Land Registry to reduce processing times. A new online platform is being developed to streamline transactions, and additional staff have been recruited. The Ministry assures that these measures will significantly reduce delays within the next 12 months."
A2,Assertion / Hidden-Accusation Questions,question,17/05/2024,12710,Chris Said,Prime Minister,Government Accountability - Failure to Deliver on Key Promises,"To ask the Prime Minister why several key government promises, including the introduction of a national minimum wage and the expansion of free childcare services, remain unfulfilled two years after taking office, and whether this reflects a lack of political will or administrative incompetence?","The government remains committed to delivering on its promises, including the introduction of a national minimum wage and expanded childcare services. These initiatives require careful planning and consultation with stakeholders to ensure successful implementation. Progress updates will be provided in due course."
A2,Assertion / Hidden-Accusation Questions,question,24/05/2024,12743,Justin Schembri,Gozo,Gozo Ferry Service Failures - Chronic Delays and Cancellations,"To ask the Minister responsible for Gozo why the Gozo ferry service continues to experience chronic delays and cancellations, with passengers stranded for hours and businesses in Gozo suffering financial losses, and whether this constitutes a breach of the state's duty to ensure reliable connectivity?",The Ministry is addressing operational challenges in the Gozo ferry service through increased maintenance and additional vessel deployments. A new scheduling system is being tested to improve reliability. The Ministry assures that these measures will significantly enhance service consistency in the coming months.
A3,Request / Directive Questions,question,15/03/2024,12456,Ivan Bartolo,Prime Minister,EU Recovery Funds - Allocation Breakdown,"In view of the upcoming disbursement of EU Recovery and Resilience Facility funds, can the Prime Minister provide a detailed breakdown of how the allocated €150 million will be distributed across sectors, including the projected timeline for each disbursement tranche?","The Government confirms that a comprehensive allocation plan for the €150 million in EU Recovery and Resilience Facility funds has been finalised and will be tabled in Parliament within the next two weeks. The plan outlines sectoral distributions, including €60 million for healthcare infrastructure, €45 million for green energy initiatives, and €30 million for digital transformation in public administration, with disbursements scheduled quarterly starting from Q3 2024."
A3,Request / Directive Questions,question,22/03/2024,12489,Chris Said,Justice and Reform of the Construction Sector,Construction Permits - Processing Delays,"Given persistent complaints regarding delays in processing construction permits, can the Minister for Justice and Reform of the Construction Sector provide a written list of all applications pending approval for over six months, including the reasons for such delays and a concrete action plan to resolve them within the next three months?","The Ministry acknowledges delays in permit processing and has identified 187 applications pending for over six months due to incomplete documentation or technical review requirements. A dedicated task force has been established to resolve these cases within 90 days, with weekly progress reports to be shared with stakeholders. The Minister will table a full list of delayed cases by 15/04/2024."
A3,Request / Directive Questions,question,05/04/2024,12501,Justin Schembri,"Environment, Energy and Regeneration of the Grand Harbour",Grand Harbour Regeneration - Contractor Selection,"Can the Minister confirm whether the contract for the Grand Harbour regeneration project has been awarded, and if so, provide the name of the selected contractor, the total contract value, and the expected completion timeline?","The contract for the Grand Harbour regeneration project was awarded to Mediterranean Infrastructure Partners Ltd. on 28/03/2024, with a total value of €85 million. The project is scheduled for completion in phases, with the first phase (harbourfront promenade) due by December 2026 and the second phase (maritime museum and cultural centre) by December 2027."
A3,Request / Directive Questions,question,10/04/2024,12512,Jerome Caruana Cilia,"Education, Sport, Youth, Research and Innovation",Digital Learning Platform - Tender Documents,"Given the recent announcement of a new national digital learning platform, can the Minister for Education provide all tender documents, evaluation criteria, and the names of the shortlisted bidders for this project?","The Ministry confirms that the tender for the national digital learning platform was issued on 01/03/2024, with three shortlisted bidders: EdTech Malta Ltd., LearnFlow Solutions, and Global Education Systems. The full tender dossier, including evaluation criteria, has been published on the Ministry’s website and is available for public scrutiny. The final selection is expected by 30/06/2024."
A3,Request / Directive Questions,question,18/04/2024,12523,Graziella Attard Previ,"Home Affairs, Security, Reforms and Equality",Police Reform - Implementation Roadmap,"Can the Minister for Home Affairs provide a detailed implementation roadmap for the ongoing police reform, including key milestones, responsible entities, and a projected timeline for full operationalisation of the new Police Service Act?","The Government confirms that the police reform implementation roadmap has been finalised and will be published by 30/04/2024. Key milestones include the establishment of the Independent Police Complaints Board by Q3 2024, the rollout of community policing units by Q1 2025, and full operationalisation of the Police Service Act by Q4 2025. Regular progress updates will be tabled in Parliament."
A3,Request / Directive Questions,question,25/04/2024,12534,Rebekah Borg,Social Policy and Children's Rights,Childcare Services - Funding Allocation,"Can the Minister for Social Policy provide a breakdown of all government funding allocated to childcare services in the past three years, including the number of children benefiting from subsidised childcare and the average subsidy per child?","The Ministry confirms that annual funding for childcare services has increased from €12 million in 2021 to €18 million in 2024. Over the past three years, an average of 4,200 children per year have benefited from subsidised childcare, with the average subsidy rising from €250 to €350 per month. A detailed breakdown by year and locality will be tabled by 10/05/2024."
A3,Request / Directive Questions,question,02/05/2024,12545,Ivan Castillo,Health and Active Ageing,Mater Dei Hospital - Equipment Procurement,"Can the Minister for Health provide a full list of all medical equipment procured for Mater Dei Hospital in the past 12 months, including the suppliers, contract values, and expected delivery dates?","The Ministry confirms that 12 major equipment procurement contracts were finalised for Mater Dei Hospital in the past year, valued at a total of €15 million. A full list, including suppliers such as MedTech Solutions Ltd. and BioMedical Equipment Malta, contract values ranging from €500,000 to €2.3 million, and delivery schedules from Q2 2024 to Q1 2025, will be tabled by 15/05/2024."
A3,Request / Directive Questions,question,09/05/2024,12556,Ivan Bartolo,"Economy, European Funds and Lands",Land Valuation Appeals - Pending Cases,"Given reports of delays in land valuation appeals, can the Minister for Economy provide a written list of all pending land valuation appeals, including the date of submission, estimated resolution timeline, and the reasons for any delays?","The Ministry acknowledges 47 pending land valuation appeals, with an average processing time of 12 months. The main causes of delay are incomplete documentation in 22 cases and complex legal disputes in 15 cases. A task force has been set up to resolve 30 cases by Q4 2024, with the full list to be published on the Ministry’s website by 20/05/2024."
A3,Request / Directive Questions,question,16/05/2024,12567,Chris Said,"Transport, Infrastructure and Public Works",Public Transport Enhancements - Contractor Progress,"Can the Minister for Transport confirm whether the contractor for the public transport enhancements project has met the agreed milestones, and if not, provide a revised timeline for completion along with reasons for any delays?","The Ministry confirms that the contractor, Malta Transport Solutions, has met all agreed milestones for the public transport enhancements project, including the installation of new bus shelters and digital signage. The project is on track for completion by December 2024, with 85% of works already finalised. A full progress report will be published by 31/05/2024."
A3,Request / Directive Questions,question,23/05/2024,12578,Justin Schembri,Gozo,Gozo Channel Service - Tender Evaluation,"Can the Minister for Gozo provide all documentation related to the evaluation of tenders for the new Gozo Channel service, including the names of the shortlisted bidders, the evaluation criteria applied, and the projected timeline for the award of the contract?","The Ministry confirms that the tender evaluation for the new Gozo Channel service is underway, with three shortlisted bidders: Gozo Maritime Services, Malta Ferry Operations, and Grand Harbour Ferries. The evaluation criteria include vessel capacity, frequency, and sustainability, with the final selection expected by 30/06/2024. All tender documents and evaluation frameworks will be published on the Ministry’s website by 31/05/2024."
B1,Replies (Direct Answers),answer,05/03/2024,12345,Ivan Bartolo,,,Parking Spaces - Dedicated Spaces for Disabled Persons in Valletta,"As of the latest quarterly report, Valletta has a total of 412 dedicated parking spaces for disabled persons, with 28 additional spaces reserved for electric vehicles. These figures reflect an increase of 15% compared to 2022, following infrastructural upgrades completed in Q4 2023. All new construction projects in Valletta are now legally required to include disabled parking in their plans."
B1,Replies (Direct Answers),answer,12/03/2024,12356,Chris Said,,,Construction Permits - Average Processing Time in 2023,"In 2023, the average processing time for construction permits across Malta was 47 calendar days, a reduction of 8 days from the previous year. This improvement was achieved through the implementation of digital workflows and increased staffing in the Planning Authority. The shortest processing times were recorded for minor residential alterations (21 days), while major commercial projects averaged 89 days."
B1,Replies (Direct Answers),answer,18/03/2024,12378,Justin Schembri,,,Energy Efficiency - Number of Retrofitted Public Buildings in 2023,"A total of 127 public buildings underwent energy efficiency retrofits in 2023, surpassing the annual target of 100 by 27%. These retrofits included installation of LED lighting, solar panels, and smart heating systems. The most significant projects were completed in state schools and health centres. The total investment amounted to €18.5 million."
B1,Replies (Direct Answers),answer,22/03/2024,12389,Jerome Caruana Cilia,,,Social Housing - Number of Completed Units in 2023,"In 2023, 432 social housing units were completed across Malta, including 158 in Gozo. These units comprise a mix of affordable rental properties and shared ownership schemes. The completion rate exceeded the annual target by 8%, with 12 new projects initiated in the final quarter of 2023."
B1,Replies (Direct Answers),answer,25/03/2024,12401,Graziella Attard Previ,,,School Infrastructure - Number of Schools Requiring Urgent Repairs,"As of February 2024, 23 state schools across Malta have been identified as requiring urgent structural repairs. These schools have been prioritised in the 2024-2025 capital works programme, with €12 million allocated for remedial works. The ministry is also exploring public-private partnerships to accelerate the rehabilitation of school buildings."
B1,Replies (Direct Answers),answer,29/03/2024,12412,Rebekah Borg,,,Healthcare Staffing - Number of Nurses Recruited in 2023,"In 2023, a total of 342 nurses were recruited into the public healthcare system, the highest annual intake in the past decade. This includes 89 newly graduated nurses from the University of Malta. Additionally, 112 foreign nurses were recruited to address critical shortages in specialised departments."
B1,Replies (Direct Answers),answer,02/04/2024,12423,Ivan Castillo,,,Transport Infrastructure - Completion Date for Marsa Flyover,"The Marsa Flyover is scheduled for completion by 30th September 2024, with 92% of the structural work already finalised. The project is on track to deliver a traffic flow improvement of 40% in the Marsa locality, as per the revised traffic impact assessment."
B1,Replies (Direct Answers),answer,05/04/2024,12434,Ivan Bartolo,,,Grand Harbour Regeneration - Total Investment to Date,"To date, a total of €268 million has been invested in the Grand Harbour regeneration project since its inception in 2020. This includes €89 million allocated in the 2024 national budget. The project has created 312 direct employment opportunities and 547 indirect jobs, primarily in the maritime and construction sectors."
B1,Replies (Direct Answers),answer,08/04/2024,12445,Chris Said,,,Youth Employment - Number of Internships Offered in 2023,"In 2023, the Government facilitated 2,145 internships for Maltese youth under the 'Youth Guarantee' programme. Of these, 1,287 were in private sector companies, while 858 were in public entities. The average stipend provided was €850 per month, with €420,000 allocated from the European Social Fund."
B1,Replies (Direct Answers),answer,11/04/2024,12456,Justin Schembri,,,Gozo - Number of New Residential Units Completed in 2023,"In 2023, 189 new residential units were completed in Gozo. This includes 94 affordable housing units under the 'Housing Gozo' initiative and 45 units financed through private investment. The remaining 50 units were self-build schemes approved by the Gozo Ministry. The completion rate represents a 14% increase over 2022."
B2,Answers by Implication (Indirect/Partial),answer,12/03/2024,24567,Chris Said,,,Public Transport Routes - Review Progress,"The Ministry for Transport, Infrastructure and Public Works is currently reviewing public transport routes as part of its ongoing strategic planning. A comprehensive report highlighting key updates and proposed changes will be shared with stakeholders in due course."
B2,Answers by Implication (Indirect/Partial),answer,05/04/2024,31289,Jerome Caruana Cilia,,,Grand Harbour Regeneration - Budget Allocation,"The Ministry for the Environment, Energy and Regeneration of the Grand Harbour is actively reviewing budgetary allocations for regeneration projects. Further details on allocations will be finalised following consultations with relevant stakeholders."
B2,Answers by Implication (Indirect/Partial),answer,18/02/2024,19845,Graziella Attard Previ,,,School Infrastructure - Maintenance Backlog,"The Ministry for Education, Sport, Youth, Research and Innovation is addressing maintenance backlogs in school infrastructure through a phased approach. Progress reports are regularly updated and shared with the relevant authorities."
B2,Answers by Implication (Indirect/Partial),answer,22/01/2024,15673,Ivan Bartolo,,,Construction Sector Reform - Licensing Delays,"The Ministry for Justice and Reform of the Construction Sector is streamlining licensing processes to reduce delays. Enhanced digital tools are being implemented to improve efficiency, with further updates expected in the coming months."
B2,Answers by Implication (Indirect/Partial),answer,30/03/2024,27891,Rebekah Borg,,,Health Services - Emergency Department Wait Times,"The Ministry for Health and Active Ageing is continuously monitoring emergency department wait times. Measures to improve patient flow are being evaluated, with results anticipated within the next quarter."
B2,Answers by Implication (Indirect/Partial),answer,10/05/2024,34562,Justin Schembri,,,Gozo - Direct Air Connectivity Enhancements,The Ministry for Gozo is exploring options to enhance direct air connectivity between Gozo and mainland Malta. Discussions with aviation stakeholders are underway to assess feasibility and potential timelines.
B2,Answers by Implication (Indirect/Partial),answer,07/02/2024,18764,Ivan Castillo,,,Social Housing - Allocation Criteria Update,The Ministry for Social Policy and Children's Rights is reviewing social housing allocation criteria to ensure fairness and transparency. A revised framework is expected to be introduced following public consultation.
B2,Answers by Implication (Indirect/Partial),answer,15/04/2024,29876,Jerome Caruana Cilia,,,Energy Efficiency - National Incentives Programme,"The Ministry for the Environment, Energy and Regeneration of the Grand Harbour is evaluating national incentives to promote energy efficiency. A detailed proposal will be presented to Cabinet for approval in the near future."
B2,Answers by Implication (Indirect/Partial),answer,25/01/2024,14321,Graziella Attard Previ,,,Youth Employment - Skills Development Initiatives,"The Ministry for Education, Sport, Youth, Research and Innovation is actively developing skills enhancement programmes for youth employment. Pilot initiatives are being tested, with broader rollout planned subject to evaluation."
B2,Answers by Implication (Indirect/Partial),answer,19/03/2024,26543,Chris Said,,,Public Sector Reform - Digital Transformation,The Ministry for the Prime Minister is advancing digital transformation initiatives across the public sector. Progress updates are regularly shared with the relevant parliamentary committees as part of ongoing transparency efforts.
B3,Non-Replies (Deferral/Referral/Reroute),answer,14/05/2024,12345,Ivan Bartolo,,,Funding Allocation - Deferred Payment Schedule for 2024 Rehabilitation Works,"The matter raised pertains to operational matters within the Ministry for Justice and Reform of the Construction Sector. The Honourable Member is kindly requested to refer to the upcoming session on 22/05/2024, when a detailed reply will be provided by the Parliamentary Secretary responsible for this portfolio."
B3,Non-Replies (Deferral/Referral/Reroute),answer,20/06/2024,18765,Chris Said,,,Policy Review - Implementation Timeline for Renewable Energy Transition,"The question raised falls under the remit of the Ministry for the Environment, Energy and Regeneration of the Grand Harbour. The Honourable Member is advised that this matter will be addressed in the forthcoming parliamentary sitting on 03/07/2024."
B3,Non-Replies (Deferral/Referral/Reroute),answer,11/07/2024,24567,Justin Schembri,,,Student Support - Review of Maintenance Grants for Tertiary Education,"The issue raised is directly related to the portfolio of the Ministry for Education, Sport, Youth, Research and Innovation. The Honourable Member is invited to consult the reply to be delivered during the sitting scheduled for 18/07/2024."
B3,Non-Replies (Deferral/Referral/Reroute),answer,30/08/2024,31234,Jerome Caruana Cilia,,,Security Protocols - Upcoming Changes to Police Oversight Mechanisms,"The topic falls under the ambit of the Ministry for Home Affairs, Security, Reforms and Equality. The Honourable Member will receive a comprehensive response at the next appropriate parliamentary session."
B3,Non-Replies (Deferral/Referral/Reroute),answer,05/09/2024,34568,Graziella Attard Previ,,,Child Welfare - Review of Foster Care Support Structures,The question relates to the responsibilities of the Ministry for Social Policy and Children's Rights. A detailed explanation will be provided when this matter is taken up in the House on 12/09/2024.
B3,Non-Replies (Deferral/Referral/Reroute),answer,22/10/2024,37890,Rebekah Borg,,,Health Services - Future Expansion Plans for Mater Dei Hospital,The matter raised is pertinent to the Ministry for Health and Active Ageing. The Honourable Member is directed to await the formal response to be delivered during the sitting on 29/10/2024.
B3,Non-Replies (Deferral/Referral/Reroute),answer,07/11/2024,40123,Ivan Castillo,,,Economic Diversification - Incentives for Emerging Technology Sectors,"The question pertains to the jurisdiction of the Ministry for Economy, European Funds and Lands. The Honourable Member is advised that this will be addressed in the next parliamentary sitting on 14/11/2024."
B3,Non-Replies (Deferral/Referral/Reroute),answer,19/12/2024,41234,Ivan Bartolo,,,Transport Strategy - Long-Term Road Network Development Plan,"The issue falls within the remit of the Ministry for Transport, Infrastructure and Public Works. The Honourable Member is kindly requested to refer to the reply to be presented on 09/01/2025."
B3,Non-Replies (Deferral/Referral/Reroute),answer,13/02/2025,42345,Chris Said,,,Gozo Connectivity - Future Ferry Service Enhancements,The matter relates to the responsibilities of the Ministry for Gozo. The Honourable Member will receive a full response during the parliamentary sitting of 20/02/2025.
B3,Non-Replies (Deferral/Referral/Reroute),answer,28/03/2025,43456,Jerome Caruana Cilia,,,Public Sector Reform - Progress on Digitalisation Initiatives,The question falls under the purview of the Office of the Prime Minister. The Honourable Member is advised that this matter will be addressed in due course.
