Category ID,Category Name,Category Type,Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
A2,Assertion / Hidden-Accusation Questions,question,02/04/2024,18002,Ivan Castillo,"Transport, Infrastructure and Public Works",Road Infrastructure - Project Delays,"Can the Minister state why major road projects are consistently exceeding their original timelines and budgets, and whether any penalties have actually been imposed on the contractors responsible for these delays?","Project timelines are subject to various factors, including complex utility upgrades and archaeological discoveries. The Ministry ensures that all contracts include performance clauses, and these are strictly enforced whenever contractual obligations are not met without valid justification."
A2,Assertion / Hidden-Accusation Questions,question,05/04/2024,18330,Ivan Bartolo,"Home Affairs, Security, Reforms and Equality",Police Force - Resource Allocation,"In light of rising concerns regarding community safety, can the Minister explain why police resources are being diverted to ceremonial duties rather than increasing visible patrols in high-crime areas?","The deployment of police officers is an operational matter for the Commissioner of Police. The force is fully committed to community policing, and resources are strategically distributed to maximize public safety and crime prevention across all localities in Malta and Gozo."
A2,Assertion / Hidden-Accusation Questions,question,08/04/2024,18674,Chris Said,"Environment, Energy and Regeneration of the Grand Harbour",Waste Management - Recycling Targets,"Given the failure to meet national recycling targets, will the Minister admit that the current waste management strategy is insufficient and remains heavily reliant on landfilling despite environmental promises?","The government is implementing a comprehensive circular economy strategy focused on sustainability. While challenges remain, significant progress has been made in waste separation at source, and new state-of-the-art facilities are being developed to further reduce landfill dependency."
A2,Assertion / Hidden-Accusation Questions,question,12/04/2024,19100,Justin Schembri,Prime Minister,Public Service - Political Appointments,"Can the Prime Minister justify the continued expansion of the 'persons of trust' list, which appears to bypass the standard Public Service Commission recruitment procedures and undermines the impartiality of the civil service?",Engagements on a trust basis are conducted in accordance with established legal guidelines to fill specific roles that require a particular level of confidence or specialized expertise. This ensures the effective implementation of the government's mandate while maintaining high standards of public service.
A3,Request / Directive Questions,question,12/01/2024,15234,Ivan Bartolo,Social Policy and Children's Rights,Social Housing - Pending Applications,"Can the Minister provide a list, categorized by locality, of the number of individuals currently on the waiting list for social housing as of December 2023?","I am tabling the requested information which provides a breakdown of applications currently being processed by the Housing Authority, listed by locality and priority status."
A3,Request / Directive Questions,question,15/01/2024,18902,Chris Said,Gozo,Gozo - Mgarr Road Reconstruction,"Can the Minister state the expected completion date for the reconstruction works on the main artery leading to Mgarr, and provide a detailed timeframe for the remaining phases?","Works are proceeding according to the established schedule. It is anticipated that the final asphalt layer will be laid by the end of the second quarter of 2024, barring any unforeseen geological challenges."
A3,Request / Directive Questions,question,18/01/2024,22145,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Education - School Maintenance Expenditure,Will the Minister publish a detailed breakdown of the funds allocated for the maintenance of primary schools in the Northern district during the last scholastic year?,The information requested regarding maintenance expenditure for primary schools in the specified region is being compiled and will be placed on the Table of the House in a future sitting.
A3,Request / Directive Questions,question,22/01/2024,25678,Jerome Caruana Cilia,"Economy, European Funds and Lands",Economy - SME Grant Scheme,Can the Minister table a list of all private entities that received grants under the 'Green Innovation' scheme during the 2023 fiscal year?,I am tabling a document containing the names of the beneficiaries and the respective amounts disbursed under the Green Innovation scheme for the period requested.
A3,Request / Directive Questions,question,25/01/2024,28412,Graziella Attard Previ,Health and Active Ageing,Health - Active Ageing Staffing,Can the Minister provide a breakdown of the current nurse-to-patient ratio in state-run residential homes for the elderly?,The Ministry maintains high standards of care. I am tabling a report showing the average staffing complements across all state-run homes for the elderly as of January 2024.
A3,Request / Directive Questions,question,30/01/2024,31005,Rebekah Borg,Justice and Reform of the Construction Sector,Construction - Safety Audits,Will the Minister table the findings of the safety audit conducted on high-rise construction sites in the St. Julian's area during the previous six months?,The Building and Construction Authority (BCA) has concluded its periodic audits. A summary of the findings and the corrective measures issued is being tabled for the information of the House.
A3,Request / Directive Questions,question,02/02/2024,33456,Ivan Castillo,"Transport, Infrastructure and Public Works",Transport - Ferry Service Contract,"Can the Minister confirm if the contract for the inter-island fast ferry service has been renewed, and if so, will the Minister table a copy of the new agreement?","The contractual negotiations have been finalized. A copy of the service agreement, excluding commercially sensitive clauses, is being placed on the Table of the House."
A3,Request / Directive Questions,question,05/02/2024,35890,Ivan Bartolo,"Home Affairs, Security, Reforms and Equality",Home Affairs - Police Station Renovations,Can the Minister provide a list of police stations currently undergoing renovation and the projected budget for each project?,"I am tabling a list of police stations included in the current modernization program, along with the estimated investment for each locality as per the 2024 budgetary allocations."
A3,Request / Directive Questions,question,08/02/2024,37211,Chris Said,"Environment, Energy and Regeneration of the Grand Harbour",Environment - Offshore Wind Farm Tender,Will the Minister provide a specific timeframe for the issuance of the international tender for the proposed offshore wind farm project?,Preliminary environmental impact assessments are nearing completion. It is expected that the expression of interest for the offshore energy project will be published by the end of the current year.
A3,Request / Directive Questions,question,12/02/2024,39543,Justin Schembri,Prime Minister,Prime Minister - Consultancy Services,Can the Prime Minister provide a breakdown of the total expenditure on external consultancy services engaged by the Office of the Prime Minister between January and June 2023?,The information requested is being compiled and will be provided in a subsequent sitting once all relevant invoices have been verified.
B1,Replies (Direct Answers),answer,12/05/2023,23456,Ivan Bartolo,,,Social Housing - Maintenance Works: Can the Minister for Social Policy and Children’s Rights state how many social housing units in the Valletta district underwent structural maintenance during the last fiscal year?,"I am informed that during the 2023 fiscal year, the Housing Authority carried out structural maintenance on 42 social housing units within the Valletta district, at a total cost of €315,000."
B1,Replies (Direct Answers),answer,15/06/2023,18234,Chris Said,,,Gozo - New School Projects: Can the Minister for Gozo provide an update on the progress of the new primary school in Victoria and specify the expected completion date?,"The construction of the new primary school in Victoria is currently in its final finishing stages. I can confirm that the project is scheduled for completion by September 2024, in time for the upcoming scholastic year."
B1,Replies (Direct Answers),answer,22/07/2023,31092,Justin Schembri,,,"Education - Laptop Distribution: Can the Minister for Education, Sport, Youth, Research and Innovation provide the total number of laptops distributed to Year 7 students in state schools during the first semester of the current academic year?","The Ministry can confirm that a total of 3,842 laptops were distributed to Year 7 students across all state schools between September and December 2023 as part of the digital literacy initiative."
B1,Replies (Direct Answers),answer,05/09/2023,12567,Jerome Caruana Cilia,,,"Economy - Startup Grants: Can the Minister for the Economy, European Funds and Lands state the total value of grants awarded to local tech startups under the 'Digital Growth' scheme during 2023?","I am informed that under the 'Digital Growth' scheme, a total of €1.2 million was awarded to 15 local tech startups throughout 2023 to support their internationalization efforts."
B1,Replies (Direct Answers),answer,18/10/2023,29845,Graziella Attard Previ,,,Active Ageing - Day Centres: Can the Minister for Health and Active Ageing confirm if there are plans to open a new Day Centre for the elderly in the Sliema area?,"Yes, the Ministry is currently finalizing the refurbishment of a property in Sliema which will serve as a new Active Ageing Day Centre. It is expected to become operational by the end of June 2024."
B1,Replies (Direct Answers),answer,11/11/2023,33401,Rebekah Borg,,,"Environment - Tree Planting Statistics: Can the Minister for the Environment, Energy and Regeneration of the Grand Harbour provide the number of indigenous trees planted in the San Pawl il-Baħar area during the last quarter of 2023?","During the period between October and December 2023, Project Green oversaw the planting of 850 indigenous trees and shrubs in the San Pawl il-Baħar locality as part of the urban greening program."
B1,Replies (Direct Answers),answer,02/12/2023,15678,Ivan Castillo,,,"Transport - Bus Route Frequency: Can the Minister for Transport, Infrastructure and Public Works state whether the frequency of the bus service between Mellieħa and the University of Malta will be increased?","I can confirm that following a review by Malta Public Transport, the frequency of Route X1 will be increased from every 30 minutes to every 20 minutes during peak morning hours effective from the next schedule update."
B1,Replies (Direct Answers),answer,14/01/2024,21005,Ivan Bartolo,,,"Home Affairs - Community Policing: Can the Minister for Home Affairs, Security, Reforms and Equality provide the number of new police recruits that joined the Community Policing team in the Southern Region in 2023?","I am informed that 18 new police officers were assigned to the Community Policing teams within the Southern Region during the course of 2023, bringing the total number of officers in that region to 45."
B1,Replies (Direct Answers),answer,20/02/2024,38920,Chris Said,,,Gozo - Rural Road Improvement: Can the Minister for Gozo state the total expenditure on the rural road improvement program in Gozo for the year 2023?,"The total expenditure on the improvement and resurfacing of rural roads in Gozo for the year 2023 amounted to €2.45 million, covering approximately 12 kilometers of the rural road network."
B1,Replies (Direct Answers),answer,05/03/2024,27443,Justin Schembri,,,"Sports - Scholarship Recipients: Can the Minister for Education, Sport, Youth, Research and Innovation state how many students benefited from the 'SportMalta' scholarship scheme in the last academic year?","A total of 125 student-athletes were awarded scholarships under the 'SportMalta' scheme for the 2022/2023 academic year, representing a 10% increase over the previous year."
B2,Answers by Implication (Indirect/Partial),answer,12/03/2024,15432,Chris Said,,,Gozo - New Regional Library: Can the Minister state the exact date when the construction of the new regional library in Victoria will be completed and open to the public?,Works on the structural phase of the project are progressing in line with the revised procurement schedule. A definitive completion date will be announced once the interior fitting and furniture tender is awarded and the subsequent timeline is established by the contractor.
B2,Answers by Implication (Indirect/Partial),answer,15/03/2024,16210,Ivan Bartolo,,,"Social Housing - Allocation Criteria: Will the Minister provide the specific list of applicants currently waiting for social housing in the Birkirkara area, categorized by their priority points?",The allocation process follows a points-based system established by the Housing Authority. Updates regarding the status of applications are provided directly to individual applicants as their files undergo the various stages of verification and means testing.
B2,Answers by Implication (Indirect/Partial),answer,18/03/2024,17554,Rebekah Borg,,,Environment - Air Quality Monitoring: Can the Minister provide the raw data for air quality readings in the Birżebbuġa industrial zone for each month of the last half-year?,"The monitoring stations in the specified area are part of the national air quality network. The Environment and Resources Authority is currently compiling the annual consolidated report, which will include localized data analysis once all readings are verified against international standards."
B2,Answers by Implication (Indirect/Partial),answer,22/03/2024,18902,Jerome Caruana Cilia,,,Economy - SME Grants: How many small businesses in the manufacturing sector received the 'Green Transition' grant during the 2023 fiscal year?,The grant scheme remains subject to ongoing evaluation processes. The final number of successful beneficiaries will be determined and published once all pending appeals and financial audits for the previous fiscal cycle are concluded.
B2,Answers by Implication (Indirect/Partial),answer,25/03/2024,19331,Justin Schembri,,,Education - School Maintenance: When will the extensive maintenance and roof repairs on the primary school in Qormi be finalized?,"The Foundation for Tomorrow's Schools is currently overseeing several modernization projects across the district. The school in question has been identified for prioritization within the current budgetary cycle, and works will proceed according to the availability of specialized contractors."
B2,Answers by Implication (Indirect/Partial),answer,28/03/2024,20115,Graziella Attard Previ,,,Social Policy - Domestic Violence Shelters: Will the Minister state the exact number of beds currently available and unoccupied in state-funded domestic violence shelters?,"The Ministry ensures that no person seeking emergency shelter is turned away. We utilize a flexible network of both state and NGO-run facilities to provide the necessary support, with capacity being managed dynamically based on the volume of referrals received by the social services."
B2,Answers by Implication (Indirect/Partial),answer,02/04/2024,21440,Ivan Castillo,,,Transport - Maritime Safety: Can the Minister provide the specific date when the new CCTV and vessel tracking system for the Grand Harbour will be fully operational?,"The installation phase of the maritime security project is nearing its conclusion. The system is scheduled to enter a rigorous testing and integration phase shortly, after which it will be handed over to the relevant port authorities for full activation."
B2,Answers by Implication (Indirect/Partial),answer,05/04/2024,22876,Chris Said,,,"Gozo - Medical Equipment: Has the new MRI scanner for the Gozo General Hospital been ordered, and on what date is it expected to arrive on the island?",The procurement process for advanced diagnostic imaging equipment is being handled through a centralized tender. This process is currently in the technical evaluation stage to ensure that the equipment meets all clinical specifications required for the Gozo hospital facility.
B2,Answers by Implication (Indirect/Partial),answer,09/04/2024,23559,Rebekah Borg,,,Infrastructure - Road Re-surfacing: Can the Minister provide a comprehensive list of all residential roads in Attard scheduled for resurfacing during the next quarter?,"Infrastructure Malta evaluates road works based on technical assessments, traffic impact, and utility requirements. The schedule for residential road works is updated periodically on the agency's digital platform as the necessary permits from various entities are approved."
B2,Answers by Implication (Indirect/Partial),answer,12/04/2024,24991,Jerome Caruana Cilia,,,Justice - Court Delays: How many civil cases have been pending for a period of more than five years within the Family Court?,Efforts to address judicial delays are ongoing through the appointment of additional members of the judiciary and the implementation of digital court reforms. These measures are expected to significantly improve the processing time of the court registry across all divisions.
B3,Non-Replies (Deferral/Referral/Reroute),answer,12/03/2024,14250,Ivan Bartolo,,,"Social Housing - Waiting List Statistics: Can the Minister provide the current number of individuals on the waiting list for social housing in the Southern Harbour region, categorized by age group?",The information requested is still being compiled and will be provided in a future sitting.
B3,Non-Replies (Deferral/Referral/Reroute),answer,15/03/2024,14382,Chris Said,,,Gozo Hospital - Specialized Equipment: Can the Minister state what new specialized medical equipment has been installed at the Gozo General Hospital since June 2023?,I refer the Honourable Member to the reply given to Parliamentary Question 12944.
B3,Non-Replies (Deferral/Referral/Reroute),answer,18/03/2024,14501,Justin Schembri,,,School Transport - Route Efficiency: Can the Minister provide a list of all school transport routes that have been modified to reduce travel time for students in the primary sector?,"The Honourable Member is requested to refer this question to the Minister for Transport, Infrastructure and Public Works."
B3,Non-Replies (Deferral/Referral/Reroute),answer,20/03/2024,14615,Jerome Caruana Cilia,,,Economic Grants - Small Businesses: Can the Minister provide a breakdown of the total amount of grants issued to small and medium enterprises (SMEs) under the 'Digital Transformation' scheme in 2023?,The information is still being collected and will be laid on the Table of the House in a future sitting.
B3,Non-Replies (Deferral/Referral/Reroute),answer,22/03/2024,14722,Graziella Attard Previ,,,Child Protection - Case Workers: Can the Minister provide the current ratio of case workers to active files within the Child Protection Services department?,I refer the Honourable Member to the answer provided for Parliamentary Question 13110.
B3,Non-Replies (Deferral/Referral/Reroute),answer,25/03/2024,14833,Rebekah Borg,,,Environmental Permits - Industrial Sites: Can the Minister provide the number of IPPC permits currently under review for industrial facilities located in the Hal Far area?,"This question should be addressed to the Minister for the Environment, Energy and Regeneration of the Grand Harbour."
B3,Non-Replies (Deferral/Referral/Reroute),answer,27/03/2024,14940,Ivan Castillo,,,Maritime Safety - Inspection Frequency: Can the Minister state how many safety inspections were carried out on commercial passenger vessels operating between Malta and Gozo during the last quarter?,The information requested is still being processed and will be provided in a subsequent sitting.
B3,Non-Replies (Deferral/Referral/Reroute),answer,02/04/2024,15055,Chris Said,,,Gozo Infrastructure - Road Projects: Can the Minister provide a list of all residential roads in Gozo that are scheduled for resurfacing during the 2024-2025 financial year?,I refer the Honourable Member to the reply given to Parliamentary Question 14102.
B3,Non-Replies (Deferral/Referral/Reroute),answer,05/04/2024,15167,Justin Schembri,,,Education - Inclusion Resources: Can the Minister provide the number of Learning Support Educators (LSEs) currently assigned to state schools in the Central district?,"The Honourable Member is requested to refer the question to the Minister for Education, Sport, Youth, Research and Innovation."
B3,Non-Replies (Deferral/Referral/Reroute),answer,08/04/2024,15278,Jerome Caruana Cilia,,,Public Finance - Revenue from Fines: Can the Minister provide the total revenue generated from administrative fines issued by the Malta Financial Services Authority in 2023?,The information is still being compiled and will be provided in a future sitting.
