DATE,PQ NO.,MP,Title,Question,Question Type,Question Categorization accuracy,Answer,Answer Type,Answer Categorization accuracy
14/04/2024,21550,Jerome Caruana Cilia,Public Service - Recruitment,Can the Prime Minister state how many new recruits joined the Public Service through the People and Standards Division in the first quarter of 2024?,Information-Seeking Questions,yes,"In the first quarter of 2024, a total of 312 new recruits joined the Public Service across various grades following competitive selection processes.",,
17/04/2024,22419,Graziella Attard Previ,Disability Benefits - Statistics,Can the Minister state how many new applications for the Increased Severe Disability Assistance were approved between June and December 2023?,Information-Seeking Questions,yes,"Between June and December 2023, the Department of Social Security approved 215 new applications for the Increased Severe Disability Assistance.",,
20/04/2024,23108,Rebekah Borg,EU Funds - SME Support,Can the Minister provide the total amount of EU funds disbursed to local SMEs under the Business Enhance Grant Schemes in 2023?,Information-Seeking Questions,yes,"In 2023, a total of €8.4 million was disbursed to local small and medium-sized enterprises through the various Business Enhance Grant Schemes.",,
23/04/2024,24055,Ivan Castillo,Maritime - Passenger Statistics,"Can the Minister state the total number of passengers who used the fast ferry service between Valletta and Mġarr, Gozo, in January 2024?",Information-Seeking Questions,yes,"In January 2024, a total of 38,210 passengers utilized the fast ferry service between the Grand Harbour in Valletta and Mġarr, Gozo.",,
26/04/2024,25670,Ivan Bartolo,POYC - Medicine Availability,"Can the Minister provide a list of medicines that were reported as out of stock under the Pharmacy of Your Choice (POYC) scheme as of April 15, 2024?",Information-Seeking Questions,yes,"As of April 15, 2024, four items were reported as out of stock due to international supply chain issues. These include specific dosages of two cardiovascular medications and two respiratory treatments.",,
29/04/2024,26341,Chris Said,Water Conservation - Reservoirs,Can the Minister state the number of public reservoirs in Gozo that were cleaned and restored during the 2023 maintenance program?,Information-Seeking Questions,yes,"During the 2023 maintenance program, the Ministry for Gozo oversaw the cleaning and structural restoration of 12 public reservoirs located in rural areas across the island.",,
02/05/2024,27119,Justin Schembri,Police - Community Policing,Can the Minister provide the number of localities in Malta and Gozo that are currently served by a dedicated Community Policing team?,Information-Seeking Questions,yes,"As of the beginning of May 2024, the Community Policing initiative has been extended to cover 48 localities across Malta and Gozo.",,
12/03/2023,14285,Chris Said,Infrastructure - Road Maintenance,"Can the Minister explain why, despite the significant budget allocated for rural road improvements in Gozo, several primary access routes remain in a state of dangerous disrepair, suggesting a failure in project prioritization?",Assertion / Hidden-Accusation Questions,yes,"The Ministry for Gozo allocates funds based on technical assessments of road safety and traffic volume. Several projects are currently in the procurement phase, and works will commence according to the established schedule, ensuring all funds are utilized transparently and effectively.",,
15/03/2023,15102,Ivan Bartolo,Housing - Waiting Lists,"Will the Minister admit that the current social housing strategy is failing to keep pace with demand, given that the number of families on the waiting list has increased by 15% over the last year despite public claims of progress?",Assertion / Hidden-Accusation Questions,yes,"The government's housing policy is multifaceted, focusing not only on new builds but also on rent subsidies and rehabilitation of existing stock. Statistics are monitored closely, and current projects are expected to significantly reduce wait times upon completion.",,
20/03/2023,16440,Rebekah Borg,Construction - Enforcement Actions,"Can the Minister clarify why enforcement notices on unauthorized construction sites in the northern region have dropped significantly, leading to public concern that safety regulations are being overlooked to favor rapid development?",Assertion / Hidden-Accusation Questions,yes,"Enforcement actions are carried out by the Building and Construction Authority based on reported infringements and routine inspections. The frequency of notices fluctuates based on compliance levels, and there is no policy of leniency toward any developer.",,
22/03/2023,17890,Justin Schembri,Education - Teacher Shortages,"Does the Minister agree that the persistent shortage of specialized science teachers in secondary schools is a direct result of the Ministry's failure to improve working conditions, despite repeated warnings from educators?",Assertion / Hidden-Accusation Questions,yes,The Ministry is actively engaged in recruitment drives and offers various incentives for STEM educators. We remain committed to social dialogue with unions to ensure that the teaching profession remains attractive and well-supported.,,
28/03/2023,18211,Graziella Attard Previ,Health - Mental Health Facilities,"Can the Minister justify the delay in the promised refurbishment of the national psychiatric unit, an inaction that continues to compromise the dignity and care of vulnerable patients?",Assertion / Hidden-Accusation Questions,yes,The refurbishment project for mental health facilities is a priority and is currently in the advanced design and planning stage. We are ensuring that the new facilities meet modern international standards for psychiatric care.,,
10/04/2023,20112,Ivan Castillo,Security - Community Policing,"Can the Minister explain why community policing remains understaffed in high-crime urban areas, suggesting that the program is more of a public relations exercise than a genuine security strategy?",Assertion / Hidden-Accusation Questions,yes,Community policing has been successfully rolled out in various localities and continues to expand. Staffing levels are determined by the Commissioner of Police based on operational requirements and available resources.,,
15/04/2023,21300,Ivan Bartolo,Transport - Public Bus Reliability,"Given the frequent reports of commuters being left stranded, will the Minister admit that the current public transport scheduling is inadequate for the needs of the working population?",Assertion / Hidden-Accusation Questions,yes,The public transport operator is required to meet specific service levels. The Ministry monitors performance data and penalizes the operator for missed trips while constantly reviewing routes to improve efficiency.,,
18/04/2023,22450,Chris Said,Gozo - Fast Ferry Service,"Can the Minister state why the fast ferry service between Gozo and Valletta remains inconsistent, and whether the government intends to subsidize the service further to prevent its total collapse?",Assertion / Hidden-Accusation Questions,yes,The fast ferry service is operated by private entities under a commercial framework. The government remains committed to ensuring connectivity for Gozitans and is exploring all legal avenues to maintain a stable service.,,
25/04/2023,23901,Rebekah Borg,Environment - Waste Separation,"Does the Minister believe that the current waste separation targets are achievable, or is the lack of enforcement at the household level undermining the entire environmental strategy?",Assertion / Hidden-Accusation Questions,yes,"Waste separation is a collective responsibility. The government has introduced new regulations and educational campaigns to increase compliance, and enforcement measures are being scaled up gradually.",,
02/05/2023,24677,Justin Schembri,Education - School Maintenance,"Will the Minister explain why several state schools are still waiting for basic repairs promised two years ago, while funds appear to be diverted toward high-profile promotional events?",Assertion / Hidden-Accusation Questions,yes,"Maintenance works in schools are prioritized based on urgency and safety. A substantial summer maintenance program is carried out annually, and all school budgets are managed to balance operational needs and long-term investment.",,
09/05/2023,25880,Graziella Attard Previ,Social Policy - Domestic Violence Units,"Can the Minister confirm if the domestic violence support units are currently operating at half-capacity due to a lack of specialized staff, effectively leaving victims without adequate protection?",Assertion / Hidden-Accusation Questions,yes,The government has increased the budget for domestic violence services and is continuously recruiting social workers and professionals. Support services remain operational and are being strengthened through inter-ministerial cooperation.,,
16/05/2023,26123,Jerome Caruana Cilia,Governance - Public Sector Appointments,"Will the Prime Minister justify the recent surge in 'persons of trust' appointments within his office, and explain how this aligns with the promised meritocracy in the public service?",Assertion / Hidden-Accusation Questions,yes,Appointments of persons of trust are made in accordance with established constitutional procedures and are intended to provide specialized support in policy implementation. The vast majority of the public service consists of career officials.,,
23/05/2023,27554,Ivan Castillo,Infrastructure - Road Safety Audits,"Can the Minister reveal the results of the road safety audits for the newly completed bypasses, or is the information being withheld because the designs prioritize speed over pedestrian safety?",Assertion / Hidden-Accusation Questions,yes,"Road safety audits are internal technical documents used to refine infrastructure designs. All new projects comply with international safety standards, including provisions for pedestrian crossings and cycle lanes where feasible.",,
30/05/2023,28990,Chris Said,Justice - Court Delays,"Does the Minister accept that the increasing backlog of civil cases is a sign of a justice system in crisis, and what immediate steps are being taken to prevent a total standstill?",Assertion / Hidden-Accusation Questions,yes,The government is investing heavily in the judiciary by appointing more judges and magistrates and digitizing court processes. These reforms are intended to increase the efficiency of the courts and reduce the duration of proceedings.,,
05/06/2023,29441,Rebekah Borg,Health - Emergency Room Wait Times,"Can the Minister explain why wait times at the emergency department have reached record highs this month, suggesting that the primary healthcare system is failing to redirect non-urgent cases?",Assertion / Hidden-Accusation Questions,yes,The emergency department experiences seasonal fluctuations in demand. We are continuing to strengthen primary health centers and regional hubs to ensure that emergency services remain available for those in critical need.,,
12/06/2023,30552,Ivan Bartolo,Governance - Public Consultation,"Will the Prime Minister admit that many public consultations on major projects are merely a 'box-ticking' exercise, as the feedback from local communities is consistently ignored in the final decisions?",Assertion / Hidden-Accusation Questions,yes,"Public consultation is a vital part of the democratic process. All submissions are reviewed by the relevant authorities, and while not every suggestion can be adopted, they frequently lead to significant modifications in project plans.",,
12/03/2024,12450,Chris Said,Gozo Ferry - Maintenance Schedule,Can the Minister provide a detailed schedule of the planned maintenance for the Gozo Channel fleet for the year 2024?,Request / Directive Questions,yes,"I am tabling the requested maintenance schedule for the current year, outlining the periods during which each vessel will be undergoing scheduled dry-docking.",,
15/03/2024,13102,Ivan Bartolo,Social Housing - List of Contractors,Will the Minister table a list of all private contractors currently engaged in the construction of social housing projects in the Northern region?,Request / Directive Questions,yes,The information requested regarding the contractors engaged for the projects in the Northern region is being compiled and will be laid on the Table of the House in a future sitting.,,
20/03/2024,14567,Rebekah Borg,Road Projects - Completion Dates,Can the Minister provide a list of all ongoing arterial road projects and their respective projected completion dates?,Request / Directive Questions,yes,I am laying on the Table of the House a list of current projects managed by Infrastructure Malta along with their estimated timeframes for completion.,,
22/03/2024,15890,Justin Schembri,School Repairs - Expenditure Breakdown,Will the Minister publish a breakdown of the expenditure related to emergency repairs carried out in state primary schools during the 2023-2024 academic year?,Request / Directive Questions,yes,"The breakdown of expenditure for emergency repairs in state primary schools is being tabled today, categorized by school and nature of work.",,
25/03/2024,16723,Jerome Caruana Cilia,Industrial Estates - Lease Agreements,Can the Minister table a list of all new lease agreements signed for industrial units in the Marsa Industrial Estate since January 2023?,Request / Directive Questions,yes,"I am tabling a list containing the requested information regarding new leases in the Marsa Industrial Estate, excluding commercially sensitive details.",,
28/03/2024,17456,Graziella Attard Previ,Community Clinics - Equipment List,Will the Minister provide a list of the medical equipment purchased for the new community clinic in Swieqi?,Request / Directive Questions,yes,I am laying on the Table of the House the list of medical equipment procured for the Swieqi community clinic to ensure high-quality primary care services.,,
02/04/2024,18210,Ivan Castillo,Police Fleet - Procurement Contract,Can the Minister confirm if a contract has been signed for the procurement of new electric patrol vehicles for the Malta Police Force and table said contract?,Request / Directive Questions,yes,"A contract has been signed following a public tender process. A copy of the contract, with redacted personal data for security reasons, is being tabled.",,
05/04/2024,19005,Chris Said,Gozo Hospital - Staffing Levels,Will the Minister provide a breakdown of the current nursing staff levels at the Gozo General Hospital by department?,Request / Directive Questions,yes,I am tabling the information regarding the distribution of nursing staff at the Gozo General Hospital as of the end of last month.,,
10/04/2024,20114,Ivan Bartolo,NGO Grants - List of Recipients,Can the Minister table a list of all NGOs that received government grants for social inclusion projects in 2023?,Request / Directive Questions,yes,The list of recipient NGOs and the respective amounts granted in 2023 for social inclusion projects is being laid on the Table of the House.,,
14/04/2024,21332,Rebekah Borg,Waste Management - Tendering Process,Will the Minister provide a timeframe for the conclusion of the tender for the new waste-to-energy facility?,Request / Directive Questions,yes,"The evaluation process for the waste-to-energy facility tender is currently in its final stages, and an award is expected by the end of the third quarter of this year.",,
18/04/2024,22450,Justin Schembri,Laptop Distribution - Statistics,Can the Minister provide a breakdown of the number of laptops distributed to students in Year 7 during the last school term?,Request / Directive Questions,yes,"I am tabling the statistics requested, broken down by college and individual state school, for the distribution cycle completed in December.",,
21/04/2024,23678,Jerome Caruana Cilia,Public Service - Consultancy Contracts,Will the Prime Minister table a list of all consultancy contracts awarded by the Office of the Prime Minister since January 2024?,Request / Directive Questions,yes,"I am laying on the Table of the House a list of consultancy contracts issued by my Office during the period requested, including the names of the consultants and the value of each contract.",,
25/04/2024,24891,Graziella Attard Previ,Elderly Homes - Inspection Reports,Can the Minister table the latest inspection reports for private elderly homes that receive government subsidies?,Request / Directive Questions,yes,The Social Care Standards Authority regularly conducts inspections. Summaries of the findings and compliance scores for the subsidised homes are being tabled for the information of the House.,,
28/04/2024,25902,Ivan Castillo,Maritime Infrastructure - Project Timeline,Will the Minister provide a detailed timeframe for the completion of the breakwater repairs in Marsaxlokk?,Request / Directive Questions,yes,The works are scheduled to be completed in three phases. The final phase is expected to be finished by mid-2025. I am tabling the full project timeline.,,
02/05/2024,26734,Chris Said,Building Regulations - Enforcement List,Can the Minister provide a list of all enforcement notices issued by the Building and Construction Authority in the first quarter of 2024?,Request / Directive Questions,yes,"I am tabling a list of enforcement notices issued during the requested period, categorized by the type of infringement and the locality.",,
05/05/2024,27845,Rebekah Borg,Urban Greening - Financial Breakdown,Will the Minister publish a breakdown of the costs associated with the urban greening project in Romeo Romano Gardens?,Request / Directive Questions,yes,"The financial breakdown for the Romeo Romano Gardens project, including landscaping and civil works, is being laid on the Table of the House.",,
10/05/2024,28956,Justin Schembri,Sports Facilities - Maintenance List,Can the Minister table a list of all public sports facilities currently undergoing maintenance or renovation?,Request / Directive Questions,yes,"I am tabling a list of facilities managed by SportMalta that are currently under renovation, along with the expected dates for their reopening to the public.",,
12/03/2024,14521,Ivan Bartolo,,Social Housing - Refurbishment Totals - Can the Minister state how many social housing units were fully refurbished and returned to the housing pool during the 2023 calendar year?,,,The Ministry for Social Policy and Children's Rights can confirm that a total of 412 social housing units underwent significant refurbishment and were subsequently re-allocated to tenants during the course of 2023.,Replies (Direct Answers),yes
15/03/2024,15602,Chris Said,,Gozo Fast Ferry - Scheduled Trips - Will the Minister provide information on whether the frequency of the fast ferry service between Valletta and Mġarr will be increased for the upcoming summer season?,,,The Ministry for Gozo and Planning confirms that the fast ferry schedule will be augmented by four additional daily round trips starting from the first week of June to accommodate increased seasonal demand.,Replies (Direct Answers),yes
18/03/2024,16783,Justin Schembri,,Education - School Transport Subsidies - Can the Minister specify the total expenditure allocated for the free school transport scheme for the 2023/2024 scholastic year?,,,"The Ministry for Education, Sport, Youth, Research and Innovation states that the total expenditure for the free school transport scheme for the current 2023/2024 scholastic year stands at €28.5 million.",Replies (Direct Answers),yes
20/03/2024,17894,Jerome Caruana Cilia,,Economy - SME Digitalization Grants - How many small and medium-sized enterprises (SMEs) successfully received grants under the Digitalization Scheme during the first quarter of 2024?,,,"The Ministry for the Economy, European Funds and Lands reports that 87 small and medium-sized enterprises were approved for and received funding under the Digitalization Scheme between January and March 2024.",Replies (Direct Answers),yes
22/03/2024,18905,Graziella Attard Previ,,Social Services - Domestic Violence Support - Can the Minister state the number of new social workers recruited specifically to handle domestic violence cases since January 2024?,,,The Ministry for Social Policy and Children's Rights confirms that 12 additional social workers have been recruited and assigned to the domestic violence support unit since the beginning of this year.,Replies (Direct Answers),yes
25/03/2024,19016,Rebekah Borg,,Environment - Urban Green Spaces - Are there specific plans and an allocated budget for the development of a new public park in the Birkirkara area within the next fiscal year?,,,"The Ministry for the Environment, Energy and Regeneration of the Grand Harbour confirms that a 5,000sqm site in Birkirkara has been identified for a new green space, with a budget of €2.1 million allocated for 2025.",Replies (Direct Answers),yes
27/03/2024,20127,Ivan Castillo,,Employment - Third-Country National Work Permits - Can the Minister provide the total number of work permit renewals processed for third-country nationals during February 2024?,,,"The Ministry for Home Affairs, Security, Reforms and Equality confirms that Identity Malta processed and approved 3,420 work permit renewals for third-country nationals during the month of February 2024.",Replies (Direct Answers),yes
02/04/2024,21238,Ivan Bartolo,,Pensions - Disability Allowance - What is the exact weekly increase in the disability pension that has been implemented for the 2024 budget cycle?,,,The Ministry for Social Policy and Children's Rights states that the weekly disability pension has been increased by exactly €15.00 per week as per the measures announced in the 2024 Budget.,Replies (Direct Answers),yes
05/04/2024,22349,Chris Said,,"Infrastructure - Gozo Road Works - Will the Minister provide the projected completion date for the major reconstruction works currently being undertaken on the main road leading to Mġarr, Gozo?",,,"The Ministry for Transport, Infrastructure and Public Works confirms that the reconstruction of the Mġarr road is on schedule and is expected to be fully completed by October 2024.",Replies (Direct Answers),yes
08/04/2024,23450,Justin Schembri,,MCAST - Green Energy Courses - How many new diploma courses related specifically to renewable energy and green technology were introduced at MCAST for the current academic year?,,,"The Ministry for Education, Sport, Youth, Research and Innovation confirms that five new diploma-level courses specializing in solar technology and wind energy systems were introduced at MCAST this academic year.",Replies (Direct Answers),yes
10/04/2024,24561,Jerome Caruana Cilia,,Consumer Affairs - Price Monitoring - Can the Minister state how many price monitoring inspections were carried out in retail supermarkets by the MCCAA during March 2024?,,,"The Ministry for the Economy, European Funds and Lands confirms that the Malta Competition and Consumer Affairs Authority (MCCAA) conducted 215 separate price monitoring inspections across various supermarkets in March 2024.",Replies (Direct Answers),yes
12/04/2024,25672,Graziella Attard Previ,,Elderly Care - St. Vincent de Paul Staffing - How many new residential beds were added to the St. Vincent de Paul Long-Term Care Facility following the recent wing expansion?,,,"The Ministry for Health and Active Ageing confirms that the recent expansion of the St. Vincent de Paul facility resulted in the addition of 60 new beds, all of which are now fully operational.",Replies (Direct Answers),yes
15/04/2024,26783,Rebekah Borg,,Coastal Management - Sliema Promenade - Has a budget been allocated for the emergency repair of the coastal sea wall along the Sliema promenade following recent storm damage?,,,"The Ministry for Transport, Infrastructure and Public Works confirms that a dedicated budget of €1.2 million has been allocated for the structural repair of the Sliema sea wall, with works set to commence next month.",Replies (Direct Answers),yes
18/04/2024,27894,Ivan Castillo,,Maritime Safety - Officer Recruitment - Can the Minister state the number of new maritime safety officers recruited by Transport Malta since the start of the current year?,,,"The Ministry for Transport, Infrastructure and Public Works confirms that eight new maritime safety officers have been recruited and have completed their training since January 2024.",Replies (Direct Answers),yes
20/04/2024,28905,Ivan Bartolo,,"Home Affairs - Community Policing - Is the new community policing hub in the Marsa locality fully operational, and what are its current operating hours?",,,"The Ministry for Home Affairs, Security, Reforms and Equality confirms that the Marsa community policing hub became fully operational on February 14, and it is currently manned daily from 08:00 to 20:00.",Replies (Direct Answers),yes
22/04/2024,29016,Chris Said,,Water Services - Desalination Plants - What is the current daily output in cubic meters of the Hondoq ir-Rummien water desalination plant in Gozo?,,,"The Ministry for Environment, Energy and Regeneration of the Grand Harbour confirms that the Hondoq ir-Rummien reverse osmosis plant is currently producing an average of 9,000 cubic meters of potable water per day.",Replies (Direct Answers),yes
25/04/2024,30127,Justin Schembri,,Sports Facilities - Marsa Athletic Track - Can the Minister confirm if the resurfacing of the Marsa athletic track is scheduled to take place during the 2024 summer recess?,,,"The Ministry for Education, Sport, Youth, Research and Innovation confirms that the resurfacing works for the Marsa athletic track are scheduled to begin in July 2024 and are expected to last eight weeks.",Replies (Direct Answers),yes
12/02/2023,10452,Ivan Bartolo,,Social Housing - Waiting List Statistics: Can the Minister state the exact number of applicants currently waiting for social housing in the Northern region?,,,The Housing Authority is currently undergoing a comprehensive review of all pending applications to ensure that the list reflects the most current socio-economic data of the applicants.,Answers by Implication (Indirect/Partial),yes
15/03/2023,11230,Justin Schembri,,Education - School Extension Costs: Will the Minister provide a detailed breakdown of the total expenditure incurred for the new extension of the primary school in Qormi?,,,"The project is still in its final stages of completion, and the final accounts will be tabulated once all contractual obligations and certification of works are finalized.",Answers by Implication (Indirect/Partial),yes
22/04/2023,15678,Rebekah Borg,,Environment - Park Completion Date: Can the Minister provide a specific date for when the new rehabilitation project at the national park will be open to the public?,,,"Works are progressing steadily through various phases, and the site will be inaugurated as soon as all safety inspections and landscaping requirements are met.",Answers by Implication (Indirect/Partial),yes
18/06/2023,21345,Graziella Attard Previ,,Health - New Screening Program: When will the new national screening program for cardiovascular health be officially launched for citizens over the age of 50?,,,"Technical preparations and the procurement of the necessary medical equipment are well advanced, and the launch will be announced following the completion of the staff training phase.",Answers by Implication (Indirect/Partial),yes
14/08/2023,27890,Ivan Castillo,,Infrastructure - Roadwork Budget: Can the Minister provide the specific budget allocated for the resurfacing of rural roads in the Mellieħa area for the current fiscal year?,,,"Infrastructure Malta is implementing a multi-year plan for rural road upgrades, with funds being allocated based on the priority of works identified by technical surveys.",Answers by Implication (Indirect/Partial),yes
20/09/2023,30123,Rebekah Borg,,Economy - Business Grant Recipients: Will the Minister publish the list of companies that received the green transition grant during the last call for applications?,,,Information regarding financial assistance to private enterprises is processed in accordance with established transparency guidelines and will be published in the government gazette as required by law.,Answers by Implication (Indirect/Partial),yes
05/10/2023,32456,Justin Schembri,,Justice - Court Case Backlog: Can the Minister state the number of pending civil cases in the Family Court that have been waiting for a sentence for more than three years?,,,Ongoing judicial reforms and the recent investment in digital court systems are specifically aimed at increasing the efficiency of the judiciary and reducing the duration of all legal proceedings.,Answers by Implication (Indirect/Partial),yes
12/11/2023,33789,Chris Said,,Prime Minister - Consultant Contracts: Can the Prime Minister provide a list of all consultants currently engaged by his office and their respective remuneration packages?,,,The Office of the Prime Minister engages professional services in various specialized fields to ensure the effective implementation of the government's electoral mandate.,Answers by Implication (Indirect/Partial),yes
01/12/2023,35001,Ivan Bartolo,,Social Policy - Rehabilitation Program Outcomes: Can the Minister provide the success rate of the new youth rehabilitation program introduced two years ago?,,,"The program is currently being evaluated by an independent board to assess its long-term social impact, and a report will be tabled once the study is concluded.",Answers by Implication (Indirect/Partial),yes
10/01/2024,36210,Graziella Attard Previ,,Health - Surgical Waiting Times: Can the Minister state the average waiting time for orthopaedic surgeries at Mater Dei Hospital as of December 2023?,,,The hospital management is continuously optimizing the use of operating theatres and expanding outpatient services to ensure that patients receive treatment in the shortest time possible.,Answers by Implication (Indirect/Partial),yes
25/01/2024,37450,Jerome Caruana Cilia,,Environment - Waste Management Data: How many tonnes of plastic waste were successfully recycled through the national collection scheme in the last six months?,,,Waste collection data is currently being verified and reconciled by the relevant agencies and will be included in the upcoming environmental performance report.,Answers by Implication (Indirect/Partial),yes
15/02/2024,39100,Ivan Castillo,,Transport - Maritime Route Launch: When will the new scheduled ferry service between Valletta and Marsaxlokk commence operations?,,,Discussions with potential operators and stakeholders are ongoing to ensure that the service meets the required standards of safety and sustainability for commuters.,Answers by Implication (Indirect/Partial),yes
28/02/2024,39999,Chris Said,,"Gozo - Cultural Festival Funding: Can the Minister provide a breakdown of the €200,000 spent on the recent regional cultural festival in Victoria?",,,"Expenditure on cultural events is managed to maximize the visibility of Gozitan heritage, and all financial records are subject to standard public sector auditing procedures.",Answers by Implication (Indirect/Partial),yes
12/02/2024,15420,Ivan Bartolo,,Social Housing - Maintenance Requests. Can the Minister provide a list of pending maintenance requests for social housing units in the Northern District?,,,I refer the Honorable Member to the answer given to Parliamentary Question 14988.,Non-Replies (Deferral/Referral/Reroute),yes
15/02/2024,15890,Chris Said,,Gozo - New Hospital Project. Can the Minister state the current progress and the expected completion date of the new general hospital in Gozo?,,,The information is still being gathered and will be given in another sitting.,Non-Replies (Deferral/Referral/Reroute),yes
19/02/2024,16215,Justin Schembri,,Education - School Transport Costs. Can the Minister provide the total expenditure on free school transport for the current scholastic year?,,,"I suggest to the Honorable Member that this question should be addressed to the Minister for Transport, Infrastructure and Public Works.",Non-Replies (Deferral/Referral/Reroute),yes
22/02/2024,17002,Jerome Caruana Cilia,,Economy - FDI Statistics. Can the Minister provide a breakdown of foreign direct investment by sector for the last quarter of 2023?,,,The answer will be given in another sitting.,Non-Replies (Deferral/Referral/Reroute),yes
26/02/2024,17450,Graziella Attard Previ,,Equality - Gender Pay Gap Study. Can the Minister provide the findings of the latest study on the gender pay gap in the public sector?,,,I refer the Honorable Member to the answer provided for Parliamentary Question 16321.,Non-Replies (Deferral/Referral/Reroute),yes
01/03/2024,18112,Rebekah Borg,,Environment - Waste Management Facility. Can the Minister provide details on the upgrades planned for the Magħtab waste facility?,,,"I suggest to the Honorable Member that this question should be addressed to the Minister for Economy, European Funds and Lands.",Non-Replies (Deferral/Referral/Reroute),yes
05/03/2024,18900,Ivan Castillo,,Transport - Road Safety Improvements. Can the Minister provide a list of road safety improvements planned for the main thoroughfares in Mosta?,,,The information is still being compiled and will be provided in a future sitting.,Non-Replies (Deferral/Referral/Reroute),yes
08/03/2024,19543,Ivan Bartolo,,Social Policy - Pension Increases. Can the Minister provide the number of pensioners who benefited from the latest cost-of-living adjustment?,,,I refer the Honorable Member to the reply given to Parliamentary Question 18776.,Non-Replies (Deferral/Referral/Reroute),yes
12/03/2024,20110,Chris Said,,Gozo - Permanent Link Project. Can the Minister provide an update on the geological studies regarding the permanent link between Malta and Gozo?,,,"I suggest to the Honorable Member that this question should be addressed to the Minister for Transport, Infrastructure and Public Works.",Non-Replies (Deferral/Referral/Reroute),yes
15/03/2024,20876,Justin Schembri,,Research - Innovation Grants. Can the Minister state how many startups applied for the 'Innovation First' grant in 2023?,,,The information is still being gathered and will be provided in a subsequent sitting.,Non-Replies (Deferral/Referral/Reroute),yes
19/03/2024,21432,Jerome Caruana Cilia,,Lands - Public Property Leases. Can the Minister provide a list of all public land currently leased to private entities for commercial use?,,,I refer the Honorable Member to the answer given to Parliamentary Question 20005.,Non-Replies (Deferral/Referral/Reroute),yes
22/03/2024,22100,Graziella Attard Previ,,Home Affairs - Community Policing Extension. Can the Minister state which localities will see an extension of the community policing scheme this year?,,,I suggest to the Honorable Member that this question should be addressed to the Prime Minister.,Non-Replies (Deferral/Referral/Reroute),yes
26/03/2024,23098,Rebekah Borg,,Justice - Court Case Statistics. Can the Minister provide statistics on the number of pending civil cases as of December 2023?,,,The answer will be given in another sitting.,Non-Replies (Deferral/Referral/Reroute),yes
